,,,,,,,,更新_20250502,
672,10502001-1,105020,庄内みどり農業協同組合,八幡支店,岩手営業所,0005,山形県,,
673,10502002-1,105020,庄内みどり農業協同組合,松山支店,岩手営業所,0005,山形県,,
674,10502003-1,105020,庄内みどり農業協同組合,中央資材店舗,岩手営業所,0005,山形県,,
675,10502004-1,105020,庄内みどり農業協同組合,平田中央資材,岩手営業所,0005,山形県,,
676,10502005-1,105020,庄内みどり農業協同組合,広野支所,岩手営業所,0005,山形県,,
677,10502006-1,105020,庄内みどり農業協同組合,西荒瀬支店,岩手営業所,0005,山形県,,
678,10502007-1,105020,庄内みどり農業協同組合,上田支店,岩手営業所,0005,山形県,,
679,10502008-1,105020,庄内みどり農業協同組合,本楯支店,岩手営業所,0005,山形県,,
680,10502009-1,105020,庄内みどり農業協同組合,広野支店,岩手営業所,0005,山形県,,
681,10502010-1,105020,庄内みどり農業協同組合,浜中支店,岩手営業所,0005,山形県,,
682,10502011-1,105020,庄内みどり農業協同組合,東平田支店,岩手営業所,0005,山形県,,
683,10502012-1,105020,庄内みどり農業協同組合,中平田支店,岩手営業所,0005,山形県,,
684,10502013-1,105020,庄内みどり農業協同組合,北平田支店,岩手営業所,0005,山形県,,
685,10502014-1,105020,庄内みどり農業協同組合,酒田支店,岩手営業所,0005,山形県,,
686,10502015-1,105020,庄内みどり農業協同組合,酒田北部支店,岩手営業所,0005,山形県,,
687,10502016-1,105020,庄内みどり農業協同組合,鳥海支店,岩手営業所,0005,山形県,,
688,10502017-1,105020,庄内みどり農業協同組合,新掘支店,岩手営業所,0005,山形県,,
689,10502018-1,105020,庄内みどり農業協同組合,西荒瀬支店生活課,岩手営業所,0005,山形県,,
690,10502019-1,105020,庄内みどり農業協同組合,企画経理課,岩手営業所,0005,山形県,,
691,10502020-1,105020,庄内みどり農業協同組合,酒田東支店,岩手営業所,0005,山形県,,
692,10502100-1,105021,新庄市　農業協同組合,,岩手営業所,0005,山形県,,
693,10502101-1,105021,新庄市　農業協同組合,購買課,岩手営業所,0005,山形県,,
694,10502102-1,105021,新庄市　農業協同組合,稲舟支所,岩手営業所,0005,山形県,,
695,10502103-1,105021,新庄市　農業協同組合,本合海支所,岩手営業所,0005,山形県,,
696,10502104-1,105021,新庄市　農業協同組合,八向支所,岩手営業所,0005,山形県,,
697,10502400-1,105024,最上町農業協同組合,本所,岩手営業所,0005,山形県,,
698,10600100-1,106001,ＪＡ全農みやぎ,園芸部,岩手営業所,0006,宮城県,,
699,10600300-1,106003,みやぎ登米　農業協同組合,本所,岩手営業所,0006,宮城県,,
700,10600302-1,106003,みやぎ登米　農業協同組合,Ａコープ石越,岩手営業所,0006,宮城県,,
701,10600307-1,106003,みやぎ登米　農業協同組合,とよま営農経済センタ,岩手営業所,0006,宮城県,,
702,10600313-1,106003,みやぎ登米　農業協同組合,東和営農経済センタ－,岩手営業所,0006,宮城県,,
703,10600314-1,106003,みやぎ登米　農業協同組合,石越営農経済センタ－,岩手営業所,0006,宮城県,,
704,10600800-1,106008,新みやぎ農業協同組合　南三陸地区本部,経理電算課,岩手営業所,0006,宮城県,,
705,10600801-1,106008,新みやぎ農業協同組合　南三陸地区本部,入谷経済店,岩手営業所,0006,宮城県,,
706,10600802-1,106008,新みやぎ農業協同組合　南三陸地区本部,志津川営農センター,岩手営業所,0006,宮城県,,
707,10600804-1,106008,新みやぎ農業協同組合　南三陸地区本部,柳津支店,岩手営業所,0006,宮城県,,
708,10600805-1,106008,新みやぎ農業協同組合　南三陸地区本部,横山支店,岩手営業所,0006,宮城県,,
709,10600806-1,106008,新みやぎ農業協同組合　南三陸地区本部,歌津経済店,岩手営業所,0006,宮城県,,
710,10600807-1,106008,新みやぎ農業協同組合　南三陸地区本部,Ａコープ小泉,岩手営業所,0006,宮城県,,
711,10600810-1,106008,新みやぎ農業協同組合　南三陸地区本部,大谷経済店,岩手営業所,0006,宮城県,,
712,10600811-1,106008,新みやぎ農業協同組合　南三陸地区本部,歌津経済課,岩手営業所,0006,宮城県,,
713,10600812-1,106008,新みやぎ農業協同組合　南三陸地区本部,浜区支店,岩手営業所,0006,宮城県,,
714,10600813-1,106008,新みやぎ農業協同組合　南三陸地区本部,小泉支店,岩手営業所,0006,宮城県,,
715,10600814-1,106008,新みやぎ農業協同組合,本吉営農センター,岩手営業所,0006,宮城県,,
716,10600815-1,106008,新みやぎ農業協同組合　南三陸地区本部,津山経済店,岩手営業所,0006,宮城県,,
717,10600816-1,106008,新みやぎ農業協同組合,志津川営農センター,岩手営業所,0006,宮城県,,
718,10600817-1,106008,新みやぎ農業協同組合,気仙沼営農センター,岩手営業所,0006,宮城県,,
719,10600820-1,106008,新みやぎ農業協同組合　南三陸地区本部,階上経済店,岩手営業所,0006,宮城県,,
720,10600821-1,106008,新みやぎ農業協同組合　南三陸地区本部,志津川営農（戸倉支店,岩手営業所,0006,宮城県,,
721,10601400-1,106014,南三陸　農業協同組合,中央支所,岩手営業所,0006,宮城県,,
722,10601401-1,106014,南三陸　農業協同組合,大島支所,岩手営業所,0006,宮城県,,
723,10601402-1,106014,南三陸　農業協同組合,鹿折支所,岩手営業所,0006,宮城県,,
724,10601403-1,106014,南三陸　農業協同組合,新月支所,岩手営業所,0006,宮城県,,
725,10601404-1,106014,南三陸　農業協同組合,松岩支所,岩手営業所,0006,宮城県,,
726,10601405-1,106014,南三陸　農業協同組合,唐桑総合支所,岩手営業所,0006,宮城県,,
727,10601500-1,106015,北上町　農業協同組合,（支所名なし）配置用,岩手営業所,0006,宮城県,,
728,10601501-1,106015,北上町　農業協同組合,くみあいストアー,岩手営業所,0006,宮城県,,
729,10601600-1,106016,河北町　農業協同組合,（支所名なし）配置用,岩手営業所,0006,宮城県,,
730,10601601-1,106016,河北町　農業協同組合,大川支所,岩手営業所,0006,宮城県,,
731,10601800-1,106018,いしのまき　農業協同組合,石巻営農センタ－,岩手営業所,0006,宮城県,,
732,10601802-1,106018,いしのまき　農業協同組合,蛇田支所,岩手営業所,0006,宮城県,,
733,10601804-1,106018,いしのまき　農業協同組合,渡波支所,岩手営業所,0006,宮城県,,
734,10601805-1,106018,いしのまき　農業協同組合,稲井支所,岩手営業所,0006,宮城県,,
735,10601812-1,106018,いしのまき　農業協同組合,石巻営農センタ－,岩手営業所,0006,宮城県,,
736,10601814-1,106018,いしのまき　農業協同組合,河北営農センター,岩手営業所,0006,宮城県,,
737,10601815-1,106018,いしのまき　農業協同組合,桃生営農センタ－,岩手営業所,0006,宮城県,,
738,10602700-1,106027,桃生町　農業協同組合,（支所名なし）配置用,岩手営業所,0006,宮城県,,
739,10603700-1,106037,新みやぎ農業協同組合　みどりの地区本部,本店事務センター,岩手営業所,0006,宮城県,,
740,10604800-1,106048,仙台　農業協同組合,経済部経済課,岩手営業所,0006,宮城県,,
741,10604803-1,106048,仙台　農業協同組合,根白石支店,岩手営業所,0006,宮城県,,
742,10604804-1,106048,仙台　農業協同組合,西部営農センター,岩手営業所,0006,宮城県,,
743,10604805-1,106048,仙台　農業協同組合,泉支店,岩手営業所,0006,宮城県,,
744,10604806-1,106048,仙台　農業協同組合,総務部経理課,岩手営業所,0006,宮城県,,
745,10604807-1,106048,仙台　農業協同組合,秋保支店,岩手営業所,0006,宮城県,,
746,10604808-1,106048,仙台　農業協同組合,七ケ浜支店,岩手営業所,0006,宮城県,,
747,10604809-1,106048,仙台　農業協同組合,七郷支店,岩手営業所,0006,宮城県,,
748,10604810-1,106048,仙台　農業協同組合,高砂支店,岩手営業所,0006,宮城県,,
749,10604811-1,106048,仙台　農業協同組合,多賀城支店,岩手営業所,0006,宮城県,,
750,10604812-1,106048,仙台　農業協同組合,岩切支店,岩手営業所,0006,宮城県,,
751,10604813-1,106048,仙台　農業協同組合,西多賀支店,岩手営業所,0006,宮城県,,
752,10604814-1,106048,仙台　農業協同組合,原町支店,岩手営業所,0006,宮城県,,
753,10604815-1,106048,仙台　農業協同組合,宮城支店女性部,岩手営業所,0006,宮城県,,
754,10604816-1,106048,仙台　農業協同組合,東部営農センター,岩手営業所,0006,宮城県,,
755,10604817-1,106048,仙台　農業協同組合,生産資材課,岩手営業所,0006,宮城県,,
756,10605800-1,106058,新みやぎ農業協同組合　あさひな地区本部,生産資材課,岩手営業所,0006,宮城県,,
757,10605802-1,106058,新みやぎ農業協同組合,大衡支店,岩手営業所,0006,宮城県,,
758,10605804-1,106058,新みやぎ農業協同組合　あさひな地区本部,落合支店,岩手営業所,0006,宮城県,,
759,10605805-1,106058,新みやぎ農業協同組合,富谷支店,岩手営業所,0006,宮城県,,
760,10605806-1,106058,新みやぎ農業協同組合　あさひな地区本部,鶴巣支店,岩手営業所,0006,宮城県,,
761,10605807-1,106058,新みやぎ農業協同組合,大和支店,岩手営業所,0006,宮城県,,
762,10605808-1,106058,新みやぎ農業協同組合　あさひな地区本部,大谷東部支店,岩手営業所,0006,宮城県,,
763,10605809-1,106058,新みやぎ農業協同組合　あさひな地区本部,粕川支店,岩手営業所,0006,宮城県,,
764,10605810-1,106058,新みやぎ農業協同組合　あさひな地区本部,大松沢支店,岩手営業所,0006,宮城県,,
765,10605812-1,106058,新みやぎ農業協同組合,大和インター支店,岩手営業所,0006,宮城県,,
766,10605814-1,106058,新みやぎ農業協同組合　あさひな地区本部,あさひな地区本部,岩手営業所,0006,宮城県,,
767,10605815-1,106058,新みやぎ農業協同組合,大郷支店,岩手営業所,0006,宮城県,,
768,10605817-1,106058,新みやぎ農業協同組合　あさひな地区本部,西部配送センタ－,岩手営業所,0006,宮城県,,
769,10605818-1,106058,新みやぎ農業協同組合　あさひな地区本部,大郷支店,岩手営業所,0006,宮城県,,
770,10605819-1,106058,新みやぎ農業協同組合　あさひな地区本部,大谷支店,岩手営業所,0006,宮城県,,
771,10606000-1,106060,古川　農業協同組合,購買課,岩手営業所,0006,宮城県,,
772,10606001-1,106060,古川　農業協同組合,中央支店,岩手営業所,0006,宮城県,,
773,10606002-1,106060,古川　農業協同組合,清滝支店,岩手営業所,0006,宮城県,,
774,10606003-1,106060,古川　農業協同組合,志田支店,岩手営業所,0006,宮城県,,
775,10606004-1,106060,古川　農業協同組合,敷玉支店,岩手営業所,0006,宮城県,,
776,10606005-1,106060,古川　農業協同組合,高倉支店,岩手営業所,0006,宮城県,,
777,10606006-1,106060,古川　農業協同組合,富永支店,岩手営業所,0006,宮城県,,
778,10606007-1,106060,古川　農業協同組合,長岡支店,岩手営業所,0006,宮城県,,
779,10606008-1,106060,古川　農業協同組合,東大崎支店,岩手営業所,0006,宮城県,,
780,10606009-1,106060,古川　農業協同組合,宮沢支店,岩手営業所,0006,宮城県,,
781,10606010-1,106060,古川　農業協同組合,西古川支店,岩手営業所,0006,宮城県,,
782,10606011-1,106060,古川　農業協同組合,伊場野支店,岩手営業所,0006,宮城県,,
783,10606012-1,106060,古川　農業協同組合,三本木支店,岩手営業所,0006,宮城県,,
784,10606400-1,106064,加美よつば農業協同組合,小野田拠点センター　営農経済課,岩手営業所,0006,宮城県,,
785,10606401-1,106064,加美よつば農業協同組合,Ａコープ小野田店,岩手営業所,0006,宮城県,,
786,10606402-1,106064,加美よつば農業協同組合,西小野田支店,岩手営業所,0006,宮城県,,
787,10606404-1,106064,加美よつば農業協同組合,宮崎東部支店,岩手営業所,0006,宮城県,,
788,10606405-1,106064,加美よつば農業協同組合,色麻拠点センター　営農経済課,岩手営業所,0006,宮城県,,
789,10606406-1,106064,加美よつば農業協同組合,中新田拠点センター　営農経済課,岩手営業所,0006,宮城県,,
790,10606407-1,106064,加美よつば農業協同組合,広原支店,岩手営業所,0006,宮城県,,
791,10606408-1,106064,加美よつば農業協同組合,鳴瀬支店,岩手営業所,0006,宮城県,,
792,10606409-1,106064,加美よつば農業協同組合,清水支店,岩手営業所,0006,宮城県,,
793,10606410-1,106064,加美よつば農業協同組合,宮崎拠点センター　営農経済課,岩手営業所,0006,宮城県,,
794,10606411-1,106064,加美よつば農業協同組合,小野田購買課,岩手営業所,0006,宮城県,,
795,10606414-1,106064,加美よつば農業協同組合,本店企画管理課,岩手営業所,0006,宮城県,,
796,10607100-1,106071,新みやぎ農業協同組合　いわでやま地区本部,本店管理電算課,岩手営業所,0006,宮城県,,
797,10607101-1,106071,新みやぎ農業協同組合　いわでやま地区本部,真山支所,岩手営業所,0006,宮城県,,
798,10607103-1,106071,新みやぎ農業協同組合　いわでやま地区本部,岩出山町支所,岩手営業所,0006,宮城県,,
799,10607105-1,106071,新みやぎ農業協同組合　いわでやま地区本部,池月支店,岩手営業所,0006,宮城県,,
800,10607106-1,106071,新みやぎ農業協同組合　いわでやま地区本部,一栗支所,岩手営業所,0006,宮城県,,
801,10607107-1,106071,新みやぎ農業協同組合　いわでやま地区本部,西大崎支所,岩手営業所,0006,宮城県,,
802,10607109-1,106071,新みやぎ農業協同組合,いわでやま営農センター　購買課,岩手営業所,0006,宮城県,,
803,10607110-1,106071,新みやぎ農業協同組合　いわでやま地区本部,鳴子店,岩手営業所,0006,宮城県,,
804,10607400-1,106074,新みやぎ農業協同組合　栗っこ地区本部,（支所名なし）配置用,岩手営業所,0006,宮城県,,
805,10607401-1,106074,新みやぎ農業協同組合　栗っこ地区本部,くみあいストアー,岩手営業所,0006,宮城県,,
806,10607402-1,106074,新みやぎ農業協同組合　栗っこ地区本部,照越ふれあい店,岩手営業所,0006,宮城県,,
807,10607403-1,106074,新みやぎ農業協同組合　栗っこ地区本部,富野ふれあい店,岩手営業所,0006,宮城県,,
808,10607404-1,106074,新みやぎ農業協同組合,築館営農センター,岩手営業所,0006,宮城県,,
809,10607408-1,106074,新みやぎ農業協同組合,志波姫営農センター,岩手営業所,0006,宮城県,,
810,10607411-1,106074,新みやぎ農業協同組合　栗っこ地区本部,若柳支店,岩手営業所,0006,宮城県,,
811,10607412-1,106074,新みやぎ農業協同組合　栗っこ地区本部,有賀支店,岩手営業所,0006,宮城県,,
812,10607413-1,106074,新みやぎ農業協同組合　栗っこ地区本部,大岡支店,岩手営業所,0006,宮城県,,
813,10607414-1,106074,新みやぎ農業協同組合　栗っこ地区本部,畑岡支店,岩手営業所,0006,宮城県,,
814,10607416-1,106074,新みやぎ農業協同組合,若柳営農センター,岩手営業所,0006,宮城県,,
815,10607417-1,106074,新みやぎ農業協同組合　栗っこ地区本部,金成中央支店,岩手営業所,0006,宮城県,,
816,10607418-1,106074,新みやぎ農業協同組合　栗っこ地区本部,萩野支店,岩手営業所,0006,宮城県,,
817,10607419-1,106074,新みやぎ農業協同組合　栗っこ地区本部,金成ふれあい店,岩手営業所,0006,宮城県,,
818,10607420-1,106074,新みやぎ農業協同組合　栗っこ地区本部,津久毛ふれあい店,岩手営業所,0006,宮城県,,
819,10607422-1,106074,新みやぎ農業協同組合,栗駒営農センター,岩手営業所,0006,宮城県,,
820,10607423-1,106074,新みやぎ農業協同組合　栗っこ地区本部,文字支店,岩手営業所,0006,宮城県,,
821,10607424-1,106074,新みやぎ農業協同組合　栗っこ地区本部,栗駒ふれあい店,岩手営業所,0006,宮城県,,
822,10607425-1,106074,新みやぎ農業協同組合　栗っこ地区本部,岩ケ崎支店,岩手営業所,0006,宮城県,,
823,10607426-1,106074,新みやぎ農業協同組合　栗っこ地区本部,鳥矢崎支店,岩手営業所,0006,宮城県,,
824,10607427-1,106074,新みやぎ農業協同組合　栗っこ地区本部,尾松支店,岩手営業所,0006,宮城県,,
825,10607428-1,106074,新みやぎ農業協同組合　栗っこ地区本部,鴬沢支店,岩手営業所,0006,宮城県,,
826,10607429-1,106074,新みやぎ農業協同組合　栗っこ地区本部,宝来支店,岩手営業所,0006,宮城県,,
827,10607430-1,106074,新みやぎ農業協同組合　栗っこ地区本部,尾松支店,岩手営業所,0006,宮城県,,
828,10607436-1,106074,新みやぎ農業協同組合　栗っこ地区本部,花山支店,岩手営業所,0006,宮城県,,
829,10607438-1,106074,新みやぎ農業協同組合,一迫営農センター,岩手営業所,0006,宮城県,,
830,10607439-1,106074,新みやぎ農業協同組合　栗っこ地区本部,高清水支店,岩手営業所,0006,宮城県,,
831,10607443-1,106074,新みやぎ農業協同組合,瀬峰営農センター,岩手営業所,0006,宮城県,,
832,10607444-1,106074,新みやぎ農業協同組合,金成営農センター,岩手営業所,0006,宮城県,,
833,10607446-1,106074,新みやぎ農業協同組合　栗っこ地区本部,栗駒中央支店,岩手営業所,0006,宮城県,,
834,10607447-1,106074,新みやぎ農業協同組合,南部営農センター,岩手営業所,0006,宮城県,,
835,10607449-1,106074,新みやぎ農業協同組合　栗っこ地区本部,営農部資材課,岩手営業所,0006,宮城県,,
836,10607450-1,106074,新みやぎ農業協同組合　栗っこ地区本部,経理電算課,岩手営業所,0006,宮城県,,
837,10607800-1,106078,名取岩沼農業協同組合,本所,岩手営業所,0006,宮城県,,
838,10607801-1,106078,名取岩沼農業協同組合,千貫支店,岩手営業所,0006,宮城県,,
839,10610601-1,106106,㈱ライフサポートわたり,Ａコープ坂元店,岩手営業所,0006,宮城県,,
840,10610604-1,106106,㈱ライフサポートわたり,Ａコープ吉田駅前店,岩手営業所,0006,宮城県,,
841,10610605-1,106106,㈱ライフサポートわたり,事業部店舗課,岩手営業所,0006,宮城県,,
842,10610700-1,106107,みやぎ亘理農業協同組合,本所,岩手営業所,0006,宮城県,,
843,10611600-1,106116,みやぎ仙南　農業協同組合,川崎支店,岩手営業所,0006,宮城県,,
844,10611602-1,106116,みやぎ仙南　農業協同組合,支倉支店,岩手営業所,0006,宮城県,,
845,10611606-1,106116,みやぎ仙南　農業協同組合,槻木支店,岩手営業所,0006,宮城県,,
846,10611607-1,106116,みやぎ仙南　農業協同組合,経理課,岩手営業所,0006,宮城県,,
847,10611608-1,106116,みやぎ仙南　農業協同組合,船岡支店,岩手営業所,0006,宮城県,,
848,10611609-1,106116,みやぎ仙南　農業協同組合,金ケ瀬支店,岩手営業所,0006,宮城県,,
849,10611610-1,106116,みやぎ仙南　農業協同組合,大河原支店,岩手営業所,0006,宮城県,,
850,10611616-1,106116,みやぎ仙南　農業協同組合,あぐりハウス丸森,岩手営業所,0006,宮城県,,
851,10611628-1,106116,みやぎ仙南　農業協同組合,あぐりハウス蔵王,岩手営業所,0006,宮城県,,
852,10611629-1,106116,みやぎ仙南　農業協同組合,あぐりハウス白石,岩手営業所,0006,宮城県,,
853,10611631-1,106116,みやぎ仙南　農業協同組合,あぐりハウス村田,岩手営業所,0006,宮城県,,
854,10611632-1,106116,みやぎ仙南　農業協同組合,あぐりハウス柴田,岩手営業所,0006,宮城県,,
855,10611634-1,106116,みやぎ仙南　農業協同組合,生活部第１生活渉外,岩手営業所,0006,宮城県,,
856,10611635-1,106116,みやぎ仙南　農業協同組合,角田グリーンセンター,岩手営業所,0006,宮城県,,
857,10611636-1,106116,みやぎ仙南　農業協同組合,生産資材課,岩手営業所,0006,宮城県,,
858,10611637-1,106116,みやぎ仙南　農業協同組合,あぐりハウス川崎,岩手営業所,0006,宮城県,,
859,10700010-1,107000,全農　福島県本部,園芸部園芸資材課,福島営業所,0007,福島県,,
860,10700600-1,107006,ふくしま未来農業協同組合,福島地区本部,関東営業所,0007,福島県,,
861,10700603-1,107006,ふくしま未来農業協同組合,松川支店,関東営業所,0007,福島県,,
862,10700605-1,107006,ふくしま未来農業協同組合,松川営農センター,関東営業所,0007,福島県,,
863,10700619-1,107006,ふくしま未来農業協同組合,山木屋支店,関東営業所,0007,福島県,,
864,10700622-1,107006,ふくしま未来農業協同組合,川俣飯野営農センター,関東営業所,0007,福島県,,
865,10701007-1,107010,ふくしま未来農業協同組合,飯野支店,関東営業所,0007,福島県,,
866,10701500-1,107015,ふくしま未来農業協同組合,伊達地区本部,福島営業所,0007,福島県,,
867,10701512-1,107015,ふくしま未来農業協同組合,伊達資材センタ－,関東営業所,0007,福島県,,
868,10701514-1,107015,ふくしま未来農業協同組合,月舘配送センタ－,関東営業所,0007,福島県,,
869,10701515-1,107015,ふくしま未来農業協同組合,小手支店,関東営業所,0007,福島県,,
870,10702100-1,107021,夢みなみ農業協同組合,すかがわ岩瀬地区支援,関東営業所,0007,福島県,,
871,10702114-1,107021,夢みなみ農業協同組合,鏡石支店,関東営業所,0007,福島県,,
872,10702116-1,107021,夢みなみ農業協同組合,岩瀬支店,福島営業所,0007,福島県,,
873,10702117-1,107021,夢みなみ農業協同組合,長沼支店,関東営業所,0007,福島県,,
874,10702118-1,107021,夢みなみ農業協同組合,大東支店,関東営業所,0007,福島県,,
875,10702122-1,107021,夢みなみ農業協同組合,西部資材センター,関東営業所,0007,福島県,,
876,10702124-1,107021,夢みなみ農業協同組合,稲田ふれあい店,関東営業所,0007,福島県,,
877,10702300-1,107023,ふくしま未来農業協同組合,物流センター（安達）,関東営業所,0007,福島県,,
878,10702301-1,107023,ふくしま未来農業協同組合,二本松営農センター,関東営業所,0007,福島県,,
879,10702310-1,107023,ふくしま未来農業協同組合,安達資材店,関東営業所,0007,福島県,,
880,10702320-1,107023,ふくしま未来農業協同組合,岩代営農センター,関東営業所,0007,福島県,,
881,10702323-1,107023,ふくしま未来農業協同組合,白沢資材店,関東営業所,0007,福島県,,
882,10702330-1,107023,ふくしま未来農業協同組合,東和営農センター,関東営業所,0007,福島県,,
883,10702504-1,107025,ふくしま未来農業協同組合,本宮支店,関東営業所,0007,福島県,,
884,10702506-1,107025,ふくしま未来農業協同組合,大玉営農センター,関東営業所,0007,福島県,,
885,10702510-1,107025,ふくしま未来農業協同組合,本宮営農センター,関東営業所,0007,福島県,,
886,10702511-1,107025,ふくしま未来農業協同組合,本宮支店,関東営業所,0007,福島県,,
887,10702600-1,107026,ふくしま未来農業協同組合,大玉資材店,関東営業所,0007,福島県,,
888,10703400-1,107034,福島さくら農業協同組合,たむら地区本部,関東営業所,0007,福島県,,
889,10703401-1,107034,福島さくら農業協同組合,中部営農センター(船引支店),関東営業所,0007,福島県,,
890,10703403-1,107034,福島さくら農業協同組合,移よりそい店,関東営業所,0007,福島県,,
891,10703404-1,107034,福島さくら農業協同組合,七郷支店,関東営業所,0007,福島県,,
892,10703409-1,107034,福島さくら農業協同組合,滝根支店,関東営業所,0007,福島県,,
893,10703410-1,107034,福島さくら農業協同組合,要田農業資材センター,関東営業所,0007,福島県,,
894,10703411-1,107034,福島さくら農業協同組合,都路支店,関東営業所,0007,福島県,,
895,10703413-1,107034,福島さくら農業協同組合,御木沢農業資材Ｃ,関東営業所,0007,福島県,,
896,10703414-1,107034,福島さくら農業協同組合,大越支店,関東営業所,0007,福島県,,
897,10703415-1,107034,福島さくら農業協同組合,沢石サブセンター,関東営業所,0007,福島県,,
898,10703416-1,107034,福島さくら農業協同組合,三春支店,関東営業所,0007,福島県,,
899,10703419-1,107034,福島さくら農業協同組合,常葉支店,関東営業所,0007,福島県,,
900,10703423-1,107034,福島さくら農業協同組合,西部営農経済センター,関東営業所,0007,福島県,,
901,10703424-1,107034,福島さくら農業協同組合,大越農業資材センター,関東営業所,0007,福島県,,
902,10703428-1,107034,福島さくら農業協同組合,東部営農経済センター,関東営業所,0007,福島県,,
903,10703430-1,107034,福島さくら農業協同組合,中部営農経済センター,関東営業所,0007,福島県,,
904,10703431-1,107034,福島さくら農業協同組合,南部営農経済センター,関東営業所,0007,福島県,,
905,10703432-1,107034,福島さくら農業協同組合,都路支店婦人部,福島営業所,0007,福島県,,
906,10703600-1,107036,夢みなみ農業協同組合,あぶくま地区支援セ,関東営業所,0007,福島県,,
907,10703601-1,107036,夢みなみ農業協同組合,石川支店,関東営業所,0007,福島県,,
908,10703608-1,107036,夢みなみ農業協同組合,浅川営農センター,関東営業所,0007,福島県,,
909,10703611-1,107036,夢みなみ農業協同組合,玉川営農センター,関東営業所,0007,福島県,,
910,10703613-1,107036,夢みなみ農業協同組合,東部基幹倉庫,関東営業所,0007,福島県,,
911,10703614-1,107036,夢みなみ農業協同組合,平田支店,関東営業所,0007,福島県,,
912,10703615-1,107036,夢みなみ農業協同組合,古殿営農センター,関東営業所,0007,福島県,,
913,10703646-1,107036,夢みなみ農業協同組合,西部基幹倉庫,関東営業所,0007,福島県,,
914,10703700-1,107037,福島さくら農業協同組合,郡山地区本部,関東営業所,0007,福島県,,
915,10703702-1,107037,福島さくら農業協同組合,郡山支店,関東営業所,0007,福島県,,
916,10703730-1,107037,福島さくら農業協同組合,大槻支店,関東営業所,0007,福島県,,
917,10703731-1,107037,福島さくら農業協同組合,郡山喜久田支店,関東営業所,0007,福島県,,
918,10703734-1,107037,福島さくら農業協同組合,熱海よりそい店,関東営業所,0007,福島県,,
919,10703735-1,107037,福島さくら農業協同組合,喜久田営農経済センター,関東営業所,0007,福島県,,
920,10703754-1,107037,福島さくら農業協同組合,安積支店,関東営業所,0007,福島県,,
921,10703755-1,107037,福島さくら農業協同組合,中田支店,関東営業所,0007,福島県,,
922,10703756-1,107037,福島さくら農業協同組合,日和田営農経済センター,関東営業所,0007,福島県,,
923,10703760-1,107037,福島さくら農業協同組合,逢瀬片平営農経済センター,関東営業所,0007,福島県,,
924,10703761-1,107037,福島さくら農業協同組合,湖南東支店,関東営業所,0007,福島県,,
925,10703767-1,107037,福島さくら農業協同組合,郡山営農経済センター,関東営業所,0007,福島県,,
926,10703786-1,107037,福島さくら農業協同組合,芳賀よりそい店,関東営業所,0007,福島県,,
927,10703787-1,107037,福島さくら農業協同組合,富久山支店,関東営業所,0007,福島県,,
928,10703789-1,107037,福島さくら農業協同組合,田村営農経済センター,関東営業所,0007,福島県,,
929,10703791-1,107037,福島さくら農業協同組合,西田支店,関東営業所,0007,福島県,,
930,10703793-1,107037,福島さくら農業協同組合,湖南西支店,関東営業所,0007,福島県,,
931,10703794-1,107037,福島さくら農業協同組合,三穂田支店,関東営業所,0007,福島県,,
932,10703796-1,107037,福島さくら農業協同組合,御代田支店,関東営業所,0007,福島県,,
933,10705400-1,107054,夢みなみ農業協同組合,しらかわ地区支援Ｃ,関東営業所,0007,福島県,,
934,10705402-1,107054,夢みなみ農業協同組合,五箇支店,関東営業所,0007,福島県,,
935,10705403-1,107054,夢みなみ農業協同組合,白河支店,関東営業所,0007,福島県,,
936,10705404-1,107054,夢みなみ農業協同組合,白坂支店,関東営業所,0007,福島県,,
937,10705405-1,107054,夢みなみ農業協同組合,西郷支店,関東営業所,0007,福島県,,
938,10705406-1,107054,夢みなみ農業協同組合,泉崎支店,関東営業所,0007,福島県,,
939,10705409-1,107054,夢みなみ農業協同組合,大信支店,関東営業所,0007,福島県,,
940,10705412-1,107054,夢みなみ農業協同組合,中島支店,関東営業所,0007,福島県,,
941,10705413-1,107054,夢みなみ農業協同組合,東支店,関東営業所,0007,福島県,,
942,10705414-1,107054,夢みなみ農業協同組合,三神支店,関東営業所,0007,福島県,,
943,10705416-1,107054,夢みなみ農業協同組合,中島資材センター,関東営業所,0007,福島県,,
944,10705420-1,107054,夢みなみ農業協同組合,報徳営業所,関東営業所,0007,福島県,,
945,10705500-1,107055,東西しらかわ農業協同組合,本店,福島営業所,0007,福島県,,
946,10705501-1,107055,東西しらかわ農業協同組合,中部営農センター,福島営業所,0007,福島県,,
947,10705502-1,107055,東西しらかわ農業協同組合,西部営農センター,福島営業所,0007,福島県,,
948,10705504-1,107055,東西しらかわ農業協同組合,物流センター,福島営業所,0007,福島県,,
949,10705505-1,107055,東西しらかわ農業協同組合,東部営農センター,関東営業所,0007,福島県,,
950,10705508-1,107055,東西しらかわ農業協同組合,鮫川支店,福島営業所,0007,福島県,,
951,10705511-1,107055,東西しらかわ農業協同組合,矢祭支店,関東営業所,0007,福島県,,
952,10706100-1,107061,会津よつば農業協同組合,会津地区本部,関東営業所,0007,福島県,,
953,10706101-1,107061,会津よつば農業協同組合,河東営農経済センター,福島営業所,0007,福島県,,
